"58"  ,"123" ,"0","8"  ,"2017-05-23","2017-05-23",                                                                    ,                                                                                ,,,
"59"  ,"145" ,"0","11" ,"2017-06-26","2017-06-26",                                                                    ,                                                                                ,,,
"60"  ,"82"  ,"0","11" ,"2017-02-17","2017-02-17",                                                                    ,                                                                                ,,,
"61"  ,"175" ,"0","11" ,"2017-07-19","2017-07-19",                                                                    ,                                                                                ,,,
"62"  ,"222" ,"0","8"  ,"2017-09-15","2017-09-15",                                                                    ,                                                                                ,,,
"63"  ,"36"  ,"0","8"  ,"2016-08-11","2016-08-11",                                                                    ,                                                                                ,,,
"64"  ,"146" ,"0","11" ,"2017-06-26","2017-06-26",                                                                    ,                                                                                ,,,
"65"  ,"124" ,"0","8"  ,"2017-05-23","2017-05-23",                                                                    ,                                                                                ,,,
"66"  ,"46"  ,"0","10" ,"2016-09-30","2016-09-30",                                                                    ,                                                                                ,,,
"67"  ,"83"  ,"0","11" ,"2017-02-17","2017-02-17",                                                                    ,                                                                                ,,,
"68"  ,"144" ,"0","22" ,"2017-06-26","2017-06-26",                                                                    ,                                                                                ,,,
"69"  ,"44"  ,"0","8"  ,"2016-09-09","2016-09-09",                                                                    ,                                                                                ,,,
"70"  ,"223" ,"0","8"  ,"2017-09-15","2017-09-15",                                                                    ,                                                                                ,,,
"71"  ,"174" ,"0","11" ,"2017-07-18","2017-07-18",                                                                    ,                                                                                ,,,
"72"  ,"147" ,"0","11" ,"2017-06-26","2017-06-26",                                                                    ,                                                                                ,,,
"73"  ,"56"  ,"0","11" ,"2016-12-08","2016-12-08",                                                                    ,                                                                                ,,,
"74"  ,"35"  ,"0","11" ,"2016-08-11","2016-08-11",                                                                    ,                                                                                ,,,
"75"  ,"45"  ,"0","10" ,"2016-09-30","2016-09-30",                                                                    ,                                                                                ,,,
"76"  ,"224" ,"0","11" ,"2017-09-08","2017-09-08",                                                                    ,                                                                                ,,,
"77"  ,"33"  ,"0","22" ,"2016-08-11","2016-08-11",                                                                    ,                                                                                ,,,
"78"  ,"43"  ,"0","8"  ,"2016-09-09","2016-09-09",                                                                    ,                                                                                ,,,
"79"  ,"41"  ,"0","0"  ,"2016-08-30","2016-08-30",                                                                    ,                                                                                ,,,
"80"  ,"28"  ,"0","8"  ,"2016-08-11","2016-08-11",                                                                    ,                                                                                ,,,
"81"  ,"34"  ,"0","11" ,"2016-08-11","2016-08-11",                                                                    ,                                                                                ,,,
"82"  ,"42"  ,"0","0"  ,"2016-08-30","2016-08-30",                                                                    ,                                                                                ,,,
"83"  ,"57"  ,"0","11" ,"2016-12-08","2016-12-08",                                                                    ,                                                                                ,,,
"84"  ,"234" ,"0","11" ,"0000-00-00","0000-00-00",                                                                    ,                                                                                ,,,
"85"  ,"227" ,"0","11" ,"2017-09-08","2017-09-08",                                                                    ,                                                                                ,,,
"86"  ,"225" ,"0","11" ,"2017-09-08","2017-09-08",                                                                    ,                                                                                ,,,
"87"  ,"235" ,"0","22" ,"0000-00-00","0000-00-00",                                                                    ,                                                                                ,,,
"88"  ,"228" ,"0","11" ,"2017-09-08","2017-09-08",                                                                    ,                                                                                ,,,
"89"  ,"233" ,"0","11" ,"0000-00-00","0000-00-00",                                                                    ,                                                                                ,,,
"90"  ,"226" ,"0","22" ,"2017-09-08","2017-09-08",                                                                    ,                                                                                ,,,
"91"  ,"108" ,"0","22" ,"2017-04-01","2017-04-01",                                                                    ,                                                                                ,,,
